furniture-10030001,马卡洛夫-南瓜熊熊
furniture-20034902,MG5的海报。
furniture-10034903,MG36-竹影清兵卫
furniture-20034903,MG36的海报。
furniture-10034904,R93-藤萝歌仙
furniture-20034904,R93的海报。
furniture-10034905,樱花-玄衣神乐
furniture-20034905,樱花的海报。
furniture-10034906,塔布克-食魂料理人
furniture-20034906,塔布克的海报。
furniture-10034907,wz.29-花鸟风月
furniture-20034907,wz.29的海报。
furniture-10034908,IDW-不倒猫侍
furniture-20034908,IDW的海报。
furniture-10003103,睡货精灵
furniture-20003103,软绵绵的睡货专用装置，躺在上面感觉仿佛经验值都上升了啊……才怪！别做梦了，快起来努力工作才有经验拿！
furniture-10003108,晚安琴架
furniture-20003108,“总之无伴奏小提琴奏鸣曲就三首！如、如果你按时早睡的话，我就考虑一下也拉组曲给你听……”WA2000一周前就摆了琴架在卧室，此刻正红着脸和重要的人就早睡问题这样讨价还价着。
furniture-10003109,永夜酒架
furniture-20003109,似乎每个组织的周年舞会上都会出现香槟酒架，宾客都会拿着一杯，最后又一口未动地交还给侍者手上。即使如此，灯火下的女王仍然微笑着和每个来宾碰杯，在夜晚结束之前怀念刚刚过去的那一年。
furniture-10003110,吧台拍照立牌
furniture-20003110,鬼知道为什么有这么多人突然想体验调酒师这种工作，说不定又是某个电子游戏的功劳。不过也许这样也好？不知道什么时候这块纸板能变成货真价实的吧台，那可是当红偶像都发文夸过的理想乡。
furniture-10003111,星河竖琴
furniture-20003111,听说是非常昂贵的无名竖琴，意外的是HK416似乎非常擅长演奏，偶尔会在星辰闪耀的夜晚听到她的琴声。“还要听那首幻想曲吗？弹给您听倒是没问题，那就先把您答应我的事情做完吧。”可HK416总是这样似笑非笑地推脱道。
furniture-10003112,灿金奖杯
furniture-20003112,站在顶端，即使无法获得任何更多的实质奖励，但那可是顶端——人为什么要征服高峰？难道只是为了更稀薄的空气？而这金灿灿的小杯子也没有什么更多的实质含义，不过是顶端而已。
furniture-10003113,白银奖杯
furniture-20003113,白银色在青铜和黄金面前总是少了一些关注，这确实令人十分迷惑。但作为白银的价值是货真价实的，不管是指光泽度还是战斗力。
furniture-10003114,黄铜奖杯
furniture-20003114,总有人认为第三名的设置似乎并没有存在的必要。但人活着总要有些梦想不是吗？毕竟唯一有吸引力的世界，正是尚未踏入的世界。
furniture-10000101,万圣节-哥特床
furniture-20000101,哥特床是整个万圣节体验的核心，来自黑暗时代的设计让每个入睡者都能进入瑰丽神秘的梦境，见到魔法兔子、红心女王和500秃子。
furniture-10000102,万圣节-日蚀地毯
furniture-20000102,摆上日蚀地毯能瞬间让任何房间充满神秘感，哪怕是格里芬的兵营或者学校的篮球场。
furniture-10000103,万圣节-阴影椅(左)
furniture-20000103,阴影椅是万圣节中孤高的王座，坐在上面除了纤细的红酒杯外什么也不能拿，即使你只喝可乐也是一样。
furniture-10000104,万圣节-阴影椅(右)
furniture-20000104,阴影椅是万圣节中孤高的王座，坐在上面除了纤细的红酒杯外什么也不能拿，即使你只喝可乐也是一样。
furniture-10000105,万圣节-巨大落地钟
furniture-20000105,数码时代里没有什么比一座巨大笨重的落地钟更能彰显你的富足和潇洒，而且电子表可不能在午夜发出巨大的钟鸣和召唤幽灵。
furniture-10000106,万圣节-南瓜糖果库
furniture-20000106,万圣节怎能没有装满糖果的南瓜呢？有了这个糖果库你可以应付最难缠的战术少女，哪怕是P7。
furniture-10000107,万圣节-长绒地毯
furniture-20000107,万圣节的地面只有铺上奢华的长毛地毯，才能衬托节日独特的氛围。注意不要把橙汁撒到上面。
furniture-10000108,万圣节-阴影沙发
furniture-20000108,阴影沙发是阴影椅的加强版，双人的沙发，双倍的孤高！...咦？
furniture-10000109,万圣节-华丽圆桌
furniture-20000109,很适合黑魔法召唤的圆桌，万圣夜的最佳选择。
furniture-10000110,万圣节-繁星墙纸
furniture-20000110,深沉夜色的墙纸上，点缀着暗金的繁星，让人仿佛躺在星空的草地下。
furniture-10000111,万圣节-小壁灯
furniture-20000111,富有曲线的设计很符合万圣节的氛围，特别是陈旧的煤油灯忽明忽暗的闪动的时候。
furniture-10000112,万圣节-神秘书架
furniture-20000112,在万圣夜不要打开卷轴，不要拉开抽屉，更不要诵读书上任何一段奇怪的文字，如果恐怖电影教会了我们任何事的话。
furniture-10000113,万圣节-古怪挂画
furniture-20000113,挂画的选择决定一个房间的成败，颜色和谐是最重要的一环。
furniture-10000114,万圣节-蜘蛛
furniture-20000114,没有毛绒绒的蜘蛛的万圣节是不完整的，只是要注意被吓到的是战术少女而非普通人类女孩，所以最好提前给自己买份意外保险。
furniture-10000115,万圣节-黑猫和窗
furniture-20000115,虽然格里芬的窗户都是超高清显示屏，但虚幻的灯火夜色带来的却是切实的温暖，更不用提还附赠了可爱的喵星人。
furniture-10000201,初始-床
furniture-20000201,IOP配发的箱子拼成的床，拆开可以用来取暖。
furniture-10000202,初始-纸箱
furniture-20000202,IOP发来的箱子，不知道里面是什么不过拿来当凳子刚刚好。
furniture-10000203,初始-纸箱
furniture-20000203,IOP发来的箱子，不知道里面是什么不过拿来当凳子刚刚好。
furniture-10000204,初始-地板
furniture-20000204,格里芬地板本来的样子: 钢筋加固的混凝土，这种最粗犷的建筑材质在上个世纪意外的又作为一种无修饰的设计哲学流行起来。
furniture-10000205,初始-弹药箱
furniture-20000205,总部最常见的配发弹药箱，使用机枪的战术少女们最好的朋友。
furniture-10000206,初始-桌子
furniture-20000206,IOP发来的箱子，不知道里面是什么不过拿来当桌子刚刚好。
furniture-10000207,初始-墙纸
furniture-20000207,格里芬墙壁本来的样子: 钢筋加固的混凝土，这种最粗犷的建筑材质在上个世纪意外的又作为一种无修饰的设计哲学流行起来。
furniture-10000301,新世界(I)-格子地砖
furniture-20000301,两色交错的地砖是最经典的设计，但需要经常清理。
furniture-10000302,新世界(I)-褪色墙纸
furniture-20000302,稍微褪色的墙纸，让人回忆起上世纪60年代的黄金岁月。
furniture-10000303,新世界(I)-折叠床
furniture-20000303,前线医院偷回来的配发折叠床，比纸箱舒服很多，还有配套的军绿毛毯帮助取暖。
furniture-10000304,新世界(I)-旋转圆凳
furniture-20000304,曾经是某个连锁快餐店的凳子，设计重点在于刻意的不舒服，好让顾客吃完东西就赶紧走人。
furniture-10000305,新世界(I)-衣帽架
furniture-20000305,即使是荒废破败的战后世界，着装考究也是绅士和淑女们生活的重要一环，特别是天气预报明天有辐射雨的时候。
furniture-10000306,新世界(I)-瓶装水
furniture-20000306,没有什么比干净的饮用水更重要了，第一次拧开瓶盖时令人安心的封口破裂的声音像是天籁。
furniture-10000307,新世界(I)-打包纸箱
furniture-20000307,经常搬家的前线基地里，打包好的纸箱是你最好的朋友。
furniture-10000308,新世界(I)-暖气
furniture-20000308,虽然基地里已经普及了余热供暖，但这片精巧的铸造金属构件被当成一件装饰品保留下来。
furniture-10000309,新世界(I)-密码箱
furniture-20000309,因为谁也不知道密码所以无法打开的大箱子，只好当成椅子用了，希望里面不是核弹头。
furniture-10000310,新世界(I)-快餐桌
furniture-20000310,连锁快餐店的桌子，摆放着各种调味酱和12年前的旧杂志，硬核怀旧主义。
furniture-10000311,新世界(I)-海报
furniture-20000311,大战后就没再出过新版的日历，和已经无法买到的可口热狗。
furniture-10000312,新世界(I)-挂钟
furniture-20000312,不，这并不是萨尔瓦多达利的作品，只是被人恶作剧掰弯了指针而已。
furniture-10000313,新世界(I)-排气扇
furniture-20000313,排气扇能保证空气的流通，还能在特别安静的时候提供有气氛的背景音。
furniture-10000314,新世界(I)-壁灯
furniture-20000314,拉一下点亮，再拉一下更亮，用力拉断绳子，然后你就再也关不上它了。
furniture-10000315,新世界(I)-窗户
furniture-20000315,虽然总部里不太用担心入侵者，但木板封窗还是一个末世环境下必须进行的传统仪式。
furniture-10000401,秋季-少女小床
furniture-20000401,布置得充满温馨气息的秋季小床，还附赠一只大号毛绒兔，深受战术少女们喜爱。
furniture-10000402,秋季-羊毛厚毯
furniture-20000402,白色的厚厚的羊毛地毯，赤脚踩上去会充满幸福感。
furniture-10000403,秋季-红色沙发(左)
furniture-20000403,小号的红色沙发，看上去略有一点磨损，不过非常松软。
furniture-10000404,秋季-红色沙发(右)
furniture-20000404,小号的红色沙发，看上去略有一点磨损，不过非常松软。
furniture-10000405,秋季-优雅橱柜
furniture-20000405,样式俭约优雅的橱柜，里面放满了用来制作或盛放甜点的工具。
furniture-10000406,秋季-浆果篮
furniture-20000406,刚摘回来的秋季浆果和草帽放在一起，帽子是谁放在这里的呢？上面还有花朵的气息。
furniture-10000407,秋季-可可地板
furniture-20000407,“闻上去真的有巧克力的味道！”来自FNC的强烈推荐。
furniture-10000408,秋季-松软沙发
furniture-20000408,大号的红色沙发，比小沙发更让人不想起身，如果可以整天瘫在上面就好了。
furniture-10000409,秋季-午后茶桌
furniture-20000409,摆满了甜点的茶桌，美好的下午茶时间总是从春田和m45制作的点心开始的，但是吃多不好，蛀牙不算工伤。
furniture-10000410,秋季-向日葵花瓶
furniture-20000410,绢布制作的向日葵与陶瓷落地花瓶，有着不输于真花的灿烂，而且很好打理。
furniture-10000411,秋季-红叶墙纸
furniture-20000411,格里芬总部为秋天特意定制的红叶墙纸，颇受好评，可能会考虑涨价贩售了。
furniture-10000412,秋季-墨迹挂画
furniture-20000412,根本看不懂画了什么的涂鸦挂画，空投人员特意强调这是后现代艺术。
furniture-10000413,秋季-褐色毛绒兔
furniture-20000413,又软又可爱的毛绒布偶兔，褐色的外表仿佛初秋的小野兔一般。红围巾与FAL的貂是同款。
furniture-10000414,秋季-置物书架
furniture-20000414,摆了成套的书，小雕塑，还有一个神秘小盒子的墙挂书架。
furniture-10000415,秋季-零散书架
furniture-20000415,随便摆了些书，显得主人好像有些学识的墙挂书架。
furniture-10000416,秋季-秋日暖景窗
furniture-20000416,超高清的实拍秋日景色视频，可以二十四小时播放，蜜柑是对指挥官表示嘉奖的特殊补给。
furniture-10000501,新世界(II)-格子地砖
furniture-20000501,两色交错的地砖是最经典的设计，但需要经常清理。
furniture-10000502,新世界(II)-褪色墙纸
furniture-20000502,稍微褪色的墙纸，让人回忆起上世纪60年代的黄金岁月。
furniture-10000503,新世界(II)-折叠床
furniture-20000503,前线医院偷回来的配发折叠床，比纸箱舒服很多，还有配套的赭红色毛毯帮助取暖。
furniture-10000504,新世界(II)-旋转圆凳
furniture-20000504,曾经是某个连锁快餐店的凳子，设计重点在于刻意的不舒服，好让顾客吃完东西就赶紧走人。
furniture-10000505,新世界(II)-衣帽架
furniture-20000505,即使是荒废破败的战后世界，着装考究也是绅士和淑女们生活的重要一环，特别是天气预报明天有辐射雨的时候。
furniture-10000506,新世界(II)-瓶装水
furniture-20000506,没有什么比干净的饮用水更重要了，第一次拧开瓶盖时令人安心的封口破裂的声音像是天籁。
furniture-10000507,新世界(II)-打包纸箱
furniture-20000507,经常搬家的前线基地里，打包好的纸箱是你最好的朋友。
furniture-10000508,新世界(II)-暖气
furniture-20000508,虽然基地里已经普及了余热供暖，但这片精巧的铸造金属构件被当成一件装饰品保留下来。
furniture-10000509,新世界(II)-密码箱
furniture-20000509,因为谁也不知道密码所以无法打开的大箱子，只好当成椅子用了，希望里面不是核弹头。
furniture-10000510,新世界(II)-快餐桌
furniture-20000510,连锁快餐店的桌子，摆放着各种调味酱和12年前的旧杂志，硬核怀旧主义。
furniture-10000511,新世界(II)-海报
furniture-20000511,大战后就没再出过新版的日历，和已经无法买到的可口热狗。
furniture-10000512,新世界(II)-挂钟
furniture-20000512,不，这并不是萨尔瓦多达利的作品，只是被人恶作剧掰弯了指针而已。
furniture-10000513,新世界(II)-排气扇
furniture-20000513,排气扇能保证空气的流通，还能在特别安静的时候提供有气氛的背景音。
furniture-10000514,新世界(II)-壁灯
furniture-20000514,拉一下点亮，再拉一下更亮，用力拉断绳子，然后你就再也关不上它了。
furniture-10000515,新世界(II)-窗户
furniture-20000515,虽然总部里不太用担心入侵者，但木板封窗还是一个末世环境下必须进行的传统仪式。
furniture-10000601,LOFT-原木地板
furniture-20000601,没上漆的原木地板，虽然质地温和有质感，但是需要经常打理。
furniture-10000602,LOFT-白色墙砖
furniture-20000602,很多LOFT原本是工厂车间，得以直接保留的白瓷墙砖别有一番韵味。
furniture-10000603,LOFT-慵懒软床
furniture-20000603,任何时代的艺术家们都很懒，一张柔软的床是他们最好的朋友。
furniture-10000604,LOFT-埃姆斯椅(左)
furniture-20000604,世界上第一款大量生产的椅子，精巧的结构可以承受哪怕是机枪战术少女们的重量。
furniture-10000605,LOFT-埃姆斯椅(右)
furniture-20000605,世界上第一款大量生产的椅子，精巧的结构可以承受哪怕是机枪战术少女们的重量。
furniture-10000606,LOFT-古旧单车
furniture-20000606,一战时侦察兵们把步枪放在车架上的卡槽里，就像后世的主妇们往里放法棍一样。
furniture-10000607,LOFT-台灯柜
furniture-20000607,屋外战火纷飞，屋内台灯温暖的灯光，柜子下塞满了过期的设计杂志，多么幸福。
furniture-10000608,LOFT-奶牛地毯
furniture-20000608,豪华的精髓在于浪费，而没什么比把奶牛做成地毯更浪费的事了。
